,cca_name,cca_num,in_labor_force,unemployed_in_labor_force,total_num_income_estimates,LTM_sub_10k,LTM_10_15k,LTM_15_20k,LTM_20_25k,LTM_25_30k,LTM_30_35k,LTM_35_40k,LTM_40_45k,LTM_45_50k,LTM_50_60k,LTM_60_75k,LTM_75_100k,LTM_100_125k,LTM_125_150k,LTM_150_200k,LTM_200k+,total_num_poverty_ratio_estimates,sub_0.50,0.50_1.00,1.00_1.25,1.25_1.50,1.50_1.85,1.85_2.00,2.00+,total_num_race_estimates,White,Black_or_African_American,American_Indian_or_Alaska_Native,Asian,Native_Hawaiian_or_Other_Pacific_Islander,some_other_race_alone,two_or_more_races
0,Rogers Park,1,31673,3093,23820,3096,1675,1838,1809,1548,1281,1491,984,867,1856,2079,2128,1327,664,700,477,51270,5977,7510,3605,3489,3378,1848,25463,54402,32362,13757,126,3523,0,2522,2112
1,West Ridge,2,36075,3190,24406,2303,986,1846,1495,1176,1343,1415,1395,1118,1876,1993,2671,1953,1111,895,830,71100,6820,8870,4555,5457,4516,2900,37982,72211,41599,8377,218,16980,0,2558,2479
2,Uptown,3,35413,3472,29231,4566,1955,1775,1615,1370,1208,846,1155,883,1891,2206,3244,2334,1045,1359,1779,53760,5478,7450,2330,2596,3392,684,31830,55137,34636,11666,152,4831,46,1772,2034
3,Lincoln Square,4,26626,1917,18253,1277,712,826,758,808,633,825,833,788,1271,2022,2231,1518,1061,1132,1558,40177,2665,2132,1803,1440,2024,720,29393,40761,31153,1525,116,4531,0,2043,1393
4,North Center,5,22260,943,14543,517,218,333,412,305,476,416,494,448,828,1475,1910,1663,1054,1347,2647,34568,943,975,605,1013,1306,161,29565,34623,30421,701,51,1513,0,674,1263
5,Lake View,6,73387,2691,52403,3455,1650,1516,1533,1616,1464,1805,2254,1644,3614,5173,6438,5634,3360,3888,7359,97989,6119,4336,2370,2096,3109,999,78960,98212,83876,3482,215,6776,16,1081,2766
6,Lincoln Park,7,45458,1901,32438,2400,1215,904,660,461,927,633,1004,642,1831,2669,3763,3285,2346,3356,6342,63645,3924,2958,994,1034,1745,525,52465,66959,57503,3253,42,3794,21,557,1789
7,Near North Side,8,58990,3717,53764,5054,1686,1503,1523,1085,1750,1150,1324,1095,3294,4697,6819,5192,2782,4798,10012,83937,6642,3737,2581,1730,1741,375,67131,85711,64267,8156,359,9836,0,1221,1872
8,Edison Park,9,6328,317,4503,84,77,106,102,110,251,206,183,134,286,379,743,451,296,567,528,11356,77,144,144,318,297,123,10253,11356,10814,120,0,167,0,129,126
9,Norwood Park,10,22125,1530,16391,938,547,665,549,558,470,774,656,477,1186,1570,2243,2107,1136,1297,1218,40986,1183,1399,608,1273,1405,634,34484,41479,36941,387,53,1744,16,1233,1105
10,Jefferson Park,11,14915,1520,10255,615,480,584,515,437,596,398,445,315,713,938,1285,982,603,771,578,27207,974,1586,1208,1209,1572,625,20033,27264,21717,250,68,2462,0,1822,945
11,Forest Glen,12,9438,574,6656,263,172,103,195,211,167,241,192,159,306,576,693,801,623,782,1172,18437,433,348,371,436,628,176,16045,18437,14475,177,0,2470,0,692,623
12,North Park,13,9334,849,6530,546,246,490,439,278,343,250,258,335,440,531,847,429,345,476,277,17828,957,1541,1273,887,1222,482,11466,18442,11454,656,61,4566,0,991,714
