,cca_name,cca_num,percent_unemployed,LTM_income_sub_10k,LTM_income_10-15k,LTM_income_15_20k,LTM_income_20_25k,LTM_income_25_30k,LTM_income_30_35k,LTM_income_35_40k,LTM_income_40_45k,LTM_income_45_50k,LTM_income_50_60k,LTM_income_60_75k,LTM_income_75_100k,LTM_income_100_125k,LTM_income_125_150k,LTM_income_150_200k,LTM_income_200k+,below_0.50_poverty_line,0.50_1.00_poverty_line,1.00_1.25_poverty_line,1.25_1.50_poverty_line,1.50_1.85_poverty_line,1.85_2.00_poverty_line,2.00+_poverty_line,White,Black_or_African_American,American_Indian_or_Alaska_Native,Asian,Native_Hawaiian_or_Other_Pacific_Islander,some_other_race_alone,two_or_more_races
0,Rogers Park,1,9.77,13.0,7.03,7.72,7.59,6.5,5.38,6.26,4.13,3.64,7.79,8.73,8.93,5.57,2.79,2.94,2.0,11.66,14.65,7.03,6.81,6.59,3.6,49.66,59.49,25.29,0.23,6.48,0.0,4.64,3.88
1,West Ridge,2,8.84,9.44,4.04,7.56,6.13,4.82,5.5,5.8,5.72,4.58,7.69,8.17,10.94,8.0,4.55,3.67,3.4,9.59,12.48,6.41,7.68,6.35,4.08,53.42,57.61,11.6,0.3,23.51,0.0,3.54,3.43
2,Uptown,3,9.8,15.62,6.69,6.07,5.52,4.69,4.13,2.89,3.95,3.02,6.47,7.55,11.1,7.98,3.57,4.65,6.09,10.19,13.86,4.33,4.83,6.31,1.27,59.21,62.82,21.16,0.28,8.76,0.08,3.21,3.69
3,Lincoln Square,4,7.2,7.0,3.9,4.53,4.15,4.43,3.47,4.52,4.56,4.32,6.96,11.08,12.22,8.32,5.81,6.2,8.54,6.63,5.31,4.49,3.58,5.04,1.79,73.16,76.43,3.74,0.28,11.12,0.0,5.01,3.42
4,North Center,5,4.24,3.55,1.5,2.29,2.83,2.1,3.27,2.86,3.4,3.08,5.69,10.14,13.13,11.44,7.25,9.26,18.2,2.73,2.82,1.75,2.93,3.78,0.47,85.53,87.86,2.02,0.15,4.37,0.0,1.95,3.65
5,Lake View,6,3.67,6.59,3.15,2.89,2.93,3.08,2.79,3.44,4.3,3.14,6.9,9.87,12.29,10.75,6.41,7.42,14.04,6.24,4.42,2.42,2.14,3.17,1.02,80.58,85.4,3.55,0.22,6.9,0.02,1.1,2.82
6,Lincoln Park,7,4.18,7.4,3.75,2.79,2.03,1.42,2.86,1.95,3.1,1.98,5.64,8.23,11.6,10.13,7.23,10.35,19.55,6.17,4.65,1.56,1.62,2.74,0.82,82.43,85.88,4.86,0.06,5.67,0.03,0.83,2.67
7,Near North Side,8,6.3,9.4,3.14,2.8,2.83,2.02,3.25,2.14,2.46,2.04,6.13,8.74,12.68,9.66,5.17,8.92,18.62,7.91,4.45,3.07,2.06,2.07,0.45,79.98,74.98,9.52,0.42,11.48,0.0,1.42,2.18
8,Edison Park,9,5.01,1.87,1.71,2.35,2.27,2.44,5.57,4.57,4.06,2.98,6.35,8.42,16.5,10.02,6.57,12.59,11.73,0.68,1.27,1.27,2.8,2.62,1.08,90.29,95.23,1.06,0.0,1.47,0.0,1.14,1.11
9,Norwood Park,10,6.92,5.72,3.34,4.06,3.35,3.4,2.87,4.72,4.0,2.91,7.24,9.58,13.68,12.85,6.93,7.91,7.43,2.89,3.41,1.48,3.11,3.43,1.55,84.14,89.06,0.93,0.13,4.2,0.04,2.97,2.66
10,Jefferson Park,11,10.19,6.0,4.68,5.69,5.02,4.26,5.81,3.88,4.34,3.07,6.95,9.15,12.53,9.58,5.88,7.52,5.64,3.58,5.83,4.44,4.44,5.78,2.3,73.63,79.65,0.92,0.25,9.03,0.0,6.68,3.47
11,Forest Glen,12,6.08,3.95,2.58,1.55,2.93,3.17,2.51,3.62,2.88,2.39,4.6,8.65,10.41,12.03,9.36,11.75,17.61,2.35,1.89,2.01,2.36,3.41,0.95,87.03,78.51,0.96,0.0,13.4,0.0,3.75,3.38
12,North Park,13,9.1,8.36,3.77,7.5,6.72,4.26,5.25,3.83,3.95,5.13,6.74,8.13,12.97,6.57,5.28,7.29,4.24,5.37,8.64,7.14,4.98,6.85,2.7,64.31,62.11,3.56,0.33,24.76,0.0,5.37,3.87
13,Albany Park,14,9.14,7.24,4.74,5.29,6.98,6.64,4.63,4.94,3.43,4.63,7.6,10.95,11.61,7.1,4.65,5.28,4.31,6.61,12.88,6.6,4.68,9.9,4.98,54.36,55.55,4.4,0.06,15.9,0.1,19.67,4.32
14,Portage Park,15,9.33,6.2,4.4,4.79,5.52,4.14,5.98,4.4,4.49,3.81,8.94,11.46,12.79,9.39,4.57,6.37,2.77,4.87,8.01,3.38,5.77,6.96,2.39,68.61,69.18,1.46,0.1,4.6,0.13,20.62,3.91
15,Irving Park,16,6.78,5.83,3.46,4.9,5.67,5.8,6.72,5.91,4.69,5.19,9.15,8.55,11.76,8.09,5.24,4.95,4.08,6.1,6.7,7.95,6.44,7.66,2.46,62.69,75.7,2.64,0.19,8.31,0.05,9.89,3.22
16,Dunning,17,7.2,5.74,3.65,4.8,5.07,5.2,5.05,4.37,5.57,3.59,7.15,10.67,15.73,10.17,5.89,4.9,2.46,3.77,7.58,2.57,5.78,6.64,2.79,70.87,84.62,2.49,0.14,4.29,0.07,6.81,1.57
17,Montclare,18,10.84,10.78,4.05,4.82,4.09,10.17,6.12,6.46,6.03,3.21,9.78,3.78,12.76,9.71,4.05,0.75,3.46,7.51,7.66,6.25,7.2,10.61,5.97,54.81,62.85,5.23,0.0,4.71,0.0,24.94,2.26
18,Belmont Cragin,19,12.3,5.52,7.15,5.64,7.43,6.69,6.74,6.38,6.26,4.14,10.31,10.35,9.72,6.71,3.71,2.52,0.74,7.01,13.83,6.9,8.4,10.9,3.92,49.05,45.41,3.62,0.23,1.54,0.02,46.73,2.46
19,Hermosa,20,9.65,7.32,6.17,8.78,6.14,8.11,7.47,7.23,4.41,4.75,8.07,9.61,10.65,4.72,3.45,2.17,0.96,5.69,16.52,10.22,5.9,12.49,2.97,46.21,39.65,2.39,0.46,1.6,0.18,53.32,2.4
20,Avondale,21,7.84,6.89,5.89,5.53,6.86,7.89,6.21,5.93,5.15,6.07,8.24,10.73,10.13,4.4,4.4,3.31,2.37,6.97,14.18,8.99,7.77,9.39,3.21,49.49,83.42,2.44,0.78,3.27,0.07,7.57,2.45
21,Logan Square,22,6.04,6.64,5.54,3.69,5.96,4.8,4.84,3.74,4.07,3.27,7.52,9.85,11.38,8.17,6.11,7.34,7.08,7.14,10.74,6.75,4.76,7.04,2.46,61.11,80.99,5.5,0.31,3.07,0.02,7.0,3.12
22,Humboldt Park,23,17.4,18.01,6.9,7.91,7.51,6.53,7.59,5.33,4.67,2.94,6.22,7.84,10.1,4.09,1.4,1.91,1.06,15.47,16.35,9.66,10.25,8.23,2.11,37.92,20.56,42.05,0.24,0.5,0.0,34.25,2.41
23,West Town,24,6.33,6.49,3.94,3.11,4.46,3.12,2.88,2.49,4.54,3.42,6.41,9.18,12.13,10.15,6.43,8.94,12.3,6.49,9.14,3.37,3.73,5.2,1.86,70.22,75.3,8.18,0.28,4.07,0.0,8.61,3.55
24,Austin,25,19.48,15.31,8.69,8.76,7.78,7.28,6.67,5.23,4.4,3.16,7.04,7.86,7.99,4.49,2.6,1.52,1.22,13.84,16.74,7.75,7.84,8.07,3.05,42.71,8.16,83.6,0.13,0.48,0.04,6.69,0.9
