PERIMETER,AREA,COMAREA_,COMAREA_ID,AREA_NUMBE,COMMUNITY,AREA_NUM_1,SHAPE_AREA,SHAPE_LEN
0,0,0,0,35,DOUGLAS,35,"46,004,621.1581","31,027.0545098"
0,0,0,0,36,OAKLAND,36,"16,913,961.0408","19,565.5061533"
0,0,0,0,37,FULLER PARK,37,"19,916,704.8692","25,339.0897503"
0,0,0,0,38,GRAND BOULEVARD,38,"48,492,503.1554","28,196.8371573"
0,0,0,0,39,KENWOOD,39,"29,071,741.9283","23,325.1679062"
0,0,0,0,4,LINCOLN SQUARE,4,"71,352,328.2399","36,624.6030848"
0,0,0,0,40,WASHINGTON PARK,40,"42,373,881.4842","28,175.3160866"
0,0,0,0,41,HYDE PARK,41,"45,105,380.1732","29,746.7082016"
0,0,0,0,42,WOODLAWN,42,"57,815,179.512","46,936.9592443"
0,0,0,0,1,ROGERS PARK,1,"51,259,902.4506","34,052.3975757"
0,0,0,0,11,JEFFERSON PARK,11,"64,868,161.6818","44,011.9571704"
0,0,0,0,12,FOREST GLEN,12,"89,130,893.6364","74,493.821604"
0,0,0,0,13,NORTH PARK,13,"70,288,706.4343","41,581.9486539"
0,0,0,0,14,ALBANY PARK,14,"53,542,230.8191","39,339.0164387"
0,0,0,0,15,PORTAGE PARK,15,"110,196,097.139","46,520.6421377"
0,0,0,0,16,IRVING PARK,16,"89,611,382.3106","49,083.2240938"
0,0,0,0,17,DUNNING,17,"103,595,001.175","54,555.9925337"
0,0,0,0,18,MONTCLARE,18,"27,576,393.6325","22,404.8521448"
0,0,0,0,19,BELMONT CRAGIN,19,"109,099,414.689","43,311.707379"
0,0,0,0,2,WEST RIDGE,2,"98,429,094.8621","43,020.6894583"
0,0,0,0,20,HERMOSA,20,"32,602,059.4055","27,179.0174378"
0,0,0,0,21,AVONDALE,21,"55,290,595.473","34,261.9334038"
0,0,0,0,22,LOGAN SQUARE,22,"100,057,566.7","49,213.4217488"
0,0,0,0,23,HUMBOLDT PARK,23,"100,480,876.502","48,583.0643299"
0,0,0,0,24,WEST TOWN,24,"127,562,904.597","55,203.7186956"
0,0,0,0,25,AUSTIN,25,"199,254,203.427","75,226.4749167"
0,0,0,0,26,WEST GARFIELD PARK,26,"36,092,848.8151","26,238.5419796"
0,0,0,0,27,EAST GARFIELD PARK,27,"53,883,220.8462","31,514.6259565"
0,0,0,0,28,NEAR WEST SIDE,28,"158,492,466.554","53,003.5929406"
0,0,0,0,29,NORTH LAWNDALE,29,"89,487,422.0242","44,959.4596627"
0,0,0,0,3,UPTOWN,3,"65,095,642.7289","46,972.7945549"
0,0,0,0,30,SOUTH LAWNDALE,30,"127,998,297.867","49,904.0452102"
0,0,0,0,31,LOWER WEST SIDE,31,"81,550,723.6377","43,229.3727036"
0,0,0,0,33,NEAR SOUTH SIDE,33,"49,769,639.4541","45,053.1651038"
0,0,0,0,34,ARMOUR SQUARE,34,"27,766,196.0954","31,948.5988398"
0,0,0,0,10,NORWOOD PARK,10,"121,959,105.47","80,368.3743778"
0,0,0,0,8,NEAR NORTH SIDE,8,"76,675,895.9728","57,293.1649516"
0,0,0,0,32,LOOP,32,"46,335,565.4586","39,428.6729962"
0,0,0,0,43,SOUTH SHORE,43,"81,812,716.3958","44,249.6461173"
0,0,0,0,44,CHATHAM,44,"82,320,670.3112","42,006.9450094"
0,0,0,0,45,AVALON PARK,45,"34,852,737.7366","27,630.822534"
0,0,0,0,46,SOUTH CHICAGO,46,"93,272,185.0092","52,435.9794313"
0,0,0,0,47,BURNSIDE,47,"16,995,983.2737","18,137.9442529"
0,0,0,0,59,MCKINLEY PARK,59,"39,431,799.6479","26,014.0968371"
0,0,0,0,6,LAKE VIEW,6,"87,214,799.2728","51,973.0968677"
0,0,0,0,48,CALUMET HEIGHTS,48,"48,826,241.5643","32,925.3658706"
0,0,0,0,49,ROSELAND,49,"134,313,706.73","56,632.7954292"
0,0,0,0,5,NORTH CENTER,5,"57,054,167.85","31,391.6697542"
0,0,0,0,50,PULLMAN,50,"59,001,555.602","35,572.0695077"
0,0,0,0,51,SOUTH DEERING,51,"303,797,059.66","80,389.8718002"
0,0,0,0,52,EAST SIDE,52,"83,241,728.0493","52,274.1928493"
0,0,0,0,53,WEST PULLMAN,53,"99,365,198.0822","50,023.8430008"
0,0,0,0,54,RIVERDALE,54,"98,389,497.4143","46,455.4408571"
0,0,0,0,55,HEGEWISCH,55,"145,965,741.437","73,692.3821322"
0,0,0,0,56,GARFIELD RIDGE,56,"117,890,778.429","60,080.4479704"
0,0,0,0,57,ARCHER HEIGHTS,57,"55,922,505.7212","31,880.0210295"
0,0,0,0,58,BRIGHTON PARK,58,"75,892,790.3114","36,537.1343061"
0,0,0,0,60,BRIDGEPORT,60,"58,291,519.2767","32,732.7183268"
0,0,0,0,61,NEW CITY,61,"134,636,963.254","48,133.595961"
0,0,0,0,62,WEST ELSDON,62,"32,711,091.4259","26,229.6956007"
0,0,0,0,63,GAGE PARK,63,"61,284,896.1132","32,294.1959107"
0,0,0,0,64,CLEARING,64,"71,145,192.3827","45,363.2861749"
0,0,0,0,65,WEST LAWN,65,"82,315,301.6831","41,934.4901309"
0,0,0,0,66,CHICAGO LAWN,66,"98,279,465.1151","40,073.0998382"
0,0,0,0,67,WEST ENGLEWOOD,67,"87,947,691.9478","40,195.2033069"
0,0,0,0,68,ENGLEWOOD,68,"85,652,323.0826","42,316.8442973"
0,0,0,0,69,GREATER GRAND CROSSING,69,"98,853,167.7093","54,645.3302996"
0,0,0,0,7,LINCOLN PARK,7,"88,316,400.4728","49,478.4277714"
0,0,0,0,70,ASHBURN,70,"135,460,337.208","54,818.1546317"
0,0,0,0,71,AUBURN GRESHAM,71,"105,065,353.602","46,757.7217161"
0,0,0,0,72,BEVERLY,72,"88,779,363.9384","44,591.4851009"
0,0,0,0,73,WASHINGTON HEIGHTS,73,"79,635,752.8769","42,222.598163"
0,0,0,0,74,MOUNT GREENWOOD,74,"75,584,290.0209","48,665.1305392"
0,0,0,0,75,MORGAN PARK,75,"91,877,340.6988","46,396.419362"
0,0,0,0,76,OHARE,76,"371,835,607.687","173,625.98466"
0,0,0,0,77,EDGEWATER,77,"48,449,990.8397","31,004.8309456"
0,0,0,0,9,EDISON PARK,9,"31,636,313.7864","25,937.226841"
