,community_area,total_reqs,avg_resol_time,median_resol_time,perc_resol_unresolved,cca_num_x,cca_name_x,total_num_race_estimates,sr_per_1000,Unnamed: 0,cca_name,cca_num_y,percent_unemployed,LTM_income_sub_10k,LTM_income_10-15k,LTM_income_15_20k,LTM_income_20_25k,LTM_income_25_30k,LTM_income_30_35k,LTM_income_35_40k,LTM_income_40_45k,LTM_income_45_50k,LTM_income_50_60k,LTM_income_60_75k,LTM_income_75_100k,LTM_income_100_125k,LTM_income_125_150k,LTM_income_150_200k,LTM_income_200k+,below_0.50_poverty_line,0.50_1.00_poverty_line,1.00_1.25_poverty_line,1.25_1.50_poverty_line,1.50_1.85_poverty_line,1.85_2.00_poverty_line,2.00+_poverty_line,White,Black_or_African_American,American_Indian_or_Alaska_Native,Asian,Native_Hawaiian_or_Other_Pacific_Islander,some_other_race_alone,two_or_more_races,Abandoned Vehicle Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Pothole in Street Complaint,Rodent Baiting/Rat Complaint,Street Light Out Complaint,Tree Trim Request,Weed Removal Request,top_1,top_2,top_3
0,1,26077,48893.13341585466,4260.758333333333,0.031867162633738545,1,Rogers Park,54402,479.33899488989374,0,Rogers Park,1,9.765415337985036,12.997481108312344,7.031905961376994,7.716204869857263,7.594458438287154,6.498740554156171,5.377833753148615,6.259445843828715,4.130982367758186,3.639798488664988,7.791771620486985,8.727959697732997,8.933669185558355,5.570948782535684,2.7875734676742234,2.938706968933669,2.0025188916876573,11.657889604056953,14.647942266432612,7.031402379559197,6.805149210064365,6.588648332358105,3.604447045055588,49.66452116247318,59.486783574133305,25.287673247307087,0.2316091320172052,6.475864857909635,0.0,4.635858975772949,3.882210212859821,1275,704,4726,1570,2888,1405,987,66,Graffiti Removal Request,Rodent Baiting/Rat Complaint,Pothole in Street Complaint
1,10,34101,71626.99677245719,11439.133333333335,0.055687516495117446,10,Norwood Park,41479,822.1268593746232,9,Norwood Park,10,6.915254237288136,5.722652675248612,3.337197242389116,4.057104508571777,3.349399060460009,3.404307241779025,2.8674272466597523,4.722103593435422,4.0021963272527605,2.9101336099078763,7.23567811603929,9.578427185650662,13.68433896650601,12.854615337685315,6.930632664266975,7.912879018973827,7.43090720517357,2.8863514370760748,3.413360659737472,1.4834333674913385,3.10593861318499,3.427999804811399,1.5468696628116918,84.13604645488704,89.05952409653078,0.9330022420984112,0.1277755008558547,4.204537235709636,0.0385737361074278,2.972588538778659,2.663998649919236,1268,2973,467,3802,2443,3662,2477,141,Pothole in Street Complaint,Street Light Out Complaint,Garbage Cart Maintenance
2,11,25325,64810.92840098758,9507.633333333333,0.045725567620927936,11,Jefferson Park,27264,928.8805751173709,10,Jefferson Park,11,10.191082802547772,5.997074597757192,4.680643588493418,5.694783032666992,5.021940516821063,4.261335933690883,5.811799122379327,3.881033642125793,4.339346660165773,3.0716723549488054,6.952705997074597,9.146757679180888,12.530472940029256,9.575816674792785,5.880058508044856,7.518283764017553,5.6362749878108245,3.57996103943838,5.829382144301099,4.440033814827067,4.443709339508215,5.777924798765024,2.297202925717646,73.63178593744257,79.65448943661971,0.9169600938967136,0.2494131455399061,9.030223004694836,0.0,6.682805164319248,3.466109154929577,1108,1677,1047,2676,3231,1905,1660,106,Rodent Baiting/Rat Complaint,Pothole in Street Complaint,Street Light Out Complaint
3,12,21512,66185.5337476571,9657.316666666666,0.05754927482335441,12,Forest Glen,18437,1166.7841839778705,11,Forest Glen,12,6.0817969908879,3.951322115384616,2.5841346153846154,1.5474759615384617,2.9296875,3.1700721153846154,2.509014423076924,3.6207932692307696,2.8846153846153846,2.3888221153846154,4.597355769230769,8.653846153846153,10.411658653846152,12.034254807692308,9.359975961538462,11.748798076923077,17.608173076923077,2.3485382654444864,1.8875088137983405,2.012257959537886,2.364809893149645,3.406194066279764,0.9546021587026088,87.02608884308727,78.51060367738786,0.9600260346043282,0.0,13.39697347724684,0.0,3.753322123989803,3.379074686771167,517,1709,727,2729,1295,1957,1520,78,Pothole in Street Complaint,Street Light Out Complaint,Garbage Cart Maintenance
4,13,14781,59278.67646445991,6554.466666666667,0.047561058115147825,13,North Park,18442,801.4857390738531,12,North Park,13,9.095778872937649,8.361408882082696,3.7672281776416536,7.503828483920367,6.722817764165392,4.257274119448699,5.252679938744257,3.828483920367534,3.950995405819296,5.130168453292496,6.738131699846861,8.131699846860643,12.970903522205209,6.569678407350689,5.283307810107198,7.289433384379786,4.241960183767228,5.367960511554857,8.643706529055418,7.140453219654476,4.975319721785955,6.854386358537133,2.703612295265874,64.31456136414629,62.10823121136536,3.557097928641145,0.3307667281205942,24.758702960633336,0.0,5.373603730614901,3.871597440624661,615,840,1500,1505,698,1226,839,59,Pothole in Street Complaint,Graffiti Removal Request,Street Light Out Complaint
5,14,33302,52884.01338372863,5469.733333333334,0.03273076692090565,14,Albany Park,52079,639.4516023733174,13,Albany Park,14,9.140712184234554,7.236083287804286,4.7350209433618655,5.293510593091725,6.975050081952286,6.635099860377587,4.631821768955261,4.9353487525040975,3.429854914101864,4.631821768955261,7.60031566806289,10.951253566442055,11.606871850907549,7.1025314150427965,4.650033387968191,5.275298974078796,4.310083166393492,6.606469537606668,12.875570549712243,6.604485016868426,4.677515380035721,9.902758483826156,4.97717801151022,54.35602302044056,55.55214193820925,4.399086003955529,0.0556846329614623,15.904683269648034,0.0998483073791739,19.66627623418268,4.322279613663857,1376,1928,6332,2953,2149,1990,1616,65,Graffiti Removal Request,Pothole in Street Complaint,Rodent Baiting/Rat Complaint
6,15,56620,61476.04697642027,8912.2,0.04475450370893677,15,Portage Park,64846,873.1456065138944,14,Portage Park,15,9.326812581843448,6.196883852691218,4.399787535410765,4.789305949008499,5.515226628895184,4.143059490084986,5.97556657223796,4.3953611898017,4.488314447592067,3.811083569405099,8.93679178470255,11.455382436260624,12.7921388101983,9.388279036827194,4.572415014164306,6.373937677053824,2.7664660056657224,4.872475761131353,8.011177669363304,3.382634471685296,5.774099919718397,6.961341320323597,2.388377694065337,68.60989316371273,69.17928630910156,1.460383061407026,0.1017796009005952,4.595503192178392,0.1341640193689665,20.622706103691826,3.906177713351633,3034,4127,4525,3887,6266,5250,3329,136,Rodent Baiting/Rat Complaint,Street Light Out Complaint,Graffiti Removal Request
7,16,55140,54757.02474445935,5847.25,0.0401342038447588,16,Irving Park,56520,975.5838641188959,15,Irving Park,16,6.778808363464864,5.827586206896552,3.458128078817734,4.901477832512315,5.669950738916256,5.802955665024631,6.724137931034482,5.906403940886699,4.694581280788177,5.1871921182266005,9.152709359605913,8.551724137931034,11.763546798029555,8.0935960591133,5.241379310344827,4.945812807881773,4.078817733990148,6.103889156368695,6.7048271188858575,7.945933415360473,6.435564114909324,7.658838424365627,2.464380605930919,62.68656716417911,75.70417551309271,2.6380042462845013,0.194621372965322,8.306794055201697,0.0477707006369426,9.888535031847134,3.220099079971692,2540,2879,9272,4865,5015,3688,2745,153,Graffiti Removal Request,Rodent Baiting/Rat Complaint,Pothole in Street Complaint
8,17,37907,69760.70283867656,12346.7,0.05782573139525681,17,Dunning,43025,881.0459035444509,16,Dunning,17,7.202993451824134,5.741316744427164,3.648263348885433,4.795230689476412,5.073872472783826,5.1969932607568685,5.05443234836703,4.367547952306895,5.566355624675998,3.589942975635044,7.153965785381026,10.666148263348886,15.72706065318818,10.173665111456714,5.890357698289269,4.89891135303266,2.455935717988595,3.7685217594213047,7.579045618947614,2.5737953564344886,5.777622214444056,6.638665266596664,2.788472756971182,70.87387702718469,84.62289366647298,2.4892504357931435,0.1417780360255665,4.292852992446252,0.0697269029633933,6.8146426496223125,1.568855316676351,2241,3562,1546,3025,3080,4067,2967,77,Street Light Out Complaint,Garbage Cart Maintenance,Rodent Baiting/Rat Complaint
9,18,11158,69129.07945452267,10690.233333333334,0.046513712134791184,18,Montclare,12973,860.094041470747,17,Montclare,18,10.836976889444095,10.78007732544917,4.048214691835343,4.821469183534228,4.093700250170572,10.166022287923584,6.117807596088242,6.458949283602457,6.026836479417785,3.206731862633614,9.779395042074142,3.7753013418239703,12.758699113031613,9.7111667045713,4.048214691835343,0.7505117125312712,3.4569024334773717,7.509943071044217,7.65811432582079,6.246588161896592,7.198003587304062,10.613740934258754,5.965842626530453,54.807767293145126,62.8536190549603,5.2339474292761885,0.0,4.709781854621136,0.0,24.94411469976104,2.2585369613813304,728,849,574,1190,628,1147,710,67,Pothole in Street Complaint,Street Light Out Complaint,Garbage Cart Maintenance
10,19,55007,64191.08033585555,8642.883333333333,0.03415928881778683,19,Belmont Cragin,79210,694.4451458149223,18,Belmont Cragin,19,12.297383849830023,5.520823756550519,7.152707548037143,5.644938861818516,7.433115748827802,6.688425117219822,6.738990530477154,6.375838926174497,6.256320676657166,4.1371701755998895,10.306150592994392,10.34752229475039,9.717753056909077,6.711409395973154,3.7050657350372345,2.519076951365266,0.7446906316079802,7.013155221454694,13.826950426655833,6.901412027631045,8.398516863063795,10.897501015847215,3.917360828931329,49.04510361641609,45.408408029289234,3.615705087741447,0.2297689685645751,1.536422168918066,0.0189370029036737,46.731473298825904,2.4592854437571017,3047,5353,6275,4543,4880,4145,3399,123,Graffiti Removal Request,Garbage Cart Maintenance,Rodent Baiting/Rat Complaint
11,2,44968,60529.758094863544,8408.683333333332,0.03871642056573563,2,West Ridge,72211,622.7306089099999,1,West Ridge,2,8.842688842688842,9.436204212078996,4.039990166352537,7.563713840858806,6.12554289928706,4.818487257231828,5.5027452265836265,5.797754650495779,5.71580758829796,4.58084077685815,7.686634434155535,8.166024748012783,10.944030156518888,8.002130623617143,4.552159305088913,3.667131033352454,3.4008030812095384,9.59212376933896,12.475386779184246,6.406469760900141,7.675105485232067,6.351617440225035,4.078762306610408,53.42053445850914,57.60756671421253,11.600725651216576,0.301893063383695,23.51442301034469,0.0,3.542396587777485,3.4329949730650453,2679,2618,3616,3926,4325,3099,2630,112,Rodent Baiting/Rat Complaint,Pothole in Street Complaint,Graffiti Removal Request
